t,semaforo_C1,semaforo_C2
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,1,1
12,1,1
13,1,1
14,2,2
15,2,2
16,2,2
17,2,2
18,2,2
19,2,2
20,2,2
21,2,2
22,2,2
23,2,2
24,2,2
25,2,2
26,2,2
27,2,2
28,2,2
29,2,2
30,2,2
31,2,2
32,2,2
33,2,2
34,2,2
35,2,2
36,2,2
37,2,2
38,2,2
39,3,3
40,3,3
41,3,3
42,0,0
43,0,0
44,0,0
45,0,0
46,0,0
47,0,0
48,0,0
49,0,0
50,0,0
51,0,0
52,1,1
53,1,1
54,1,1
55,2,2
56,2,2
57,2,2
58,2,2
59,2,2
60,2,2
61,2,2
62,2,2
63,2,2
64,2,2
65,2,2
66,2,2
67,2,2
68,2,2
69,2,2
70,3,2
71,3,2
72,3,2
73,0,2
74,0,2
75,0,2
76,0,2
77,0,2
78,0,2
79,0,2
80,0,2
81,0,2
82,0,2
83,1,2
84,1,2
85,1,3
86,2,3
87,2,3
88,2,0
89,2,0
90,2,0
91,2,0
92,2,0
93,2,0
94,2,0
95,2,0
96,2,0
97,2,0
98,2,1
99,2,1
100,2,1
101,2,2
102,2,2
103,2,2
104,2,2
105,2,2
106,3,2
107,3,2
108,3,2
109,0,2
110,0,2
111,0,2
112,0,2
113,0,2
114,0,2
115,0,2
116,0,2
117,0,2
118,0,2
119,1,2
120,1,2
121,1,2
122,2,2
123,2,2
124,2,2
125,2,2
126,2,3
127,2,3
128,2,3
129,2,0
130,2,0
131,2,0
132,2,0
133,2,0
134,2,0
135,2,0
136,2,0
137,2,0
138,2,0
139,2,1
140,2,1
141,2,1
142,3,2
143,3,2
144,3,2
145,0,2
146,0,2
147,0,2
148,0,2
149,0,2
150,0,2
151,0,2
152,0,2
153,0,2
154,0,2
155,1,2
156,1,2
157,1,2
158,2,2
159,2,2
160,2,2
161,2,2
162,2,3
163,2,3
164,2,3
165,2,0
166,2,0
167,2,0
168,2,0
169,2,0
170,2,0
171,2,0
172,2,0
173,2,0
174,2,0
175,2,1
176,2,1
177,2,1
178,2,2
179,2,2
180,2,2
181,2,2
182,2,2
183,3,2
184,3,2
185,3,2
186,0,2
187,0,2
188,0,2
189,0,2
190,0,2
191,0,2
192,0,2
193,0,2
194,0,2
195,0,2
196,1,2
197,1,2
198,1,2
199,2,2
200,2,2
201,2,2
202,2,2
203,2,3
204,2,3
205,2,3
206,2,0
207,2,0
208,2,0
209,2,0
210,2,0
211,2,0
212,2,0
213,2,0
214,2,0
215,2,0
216,2,1
217,2,1
218,2,1
219,2,2
220,2,2
221,2,2
222,2,2
223,2,2
224,3,2
225,3,2
226,3,2
227,0,2
228,0,2
229,0,2
230,0,2
231,0,2
232,0,2
233,0,2
234,0,2
235,0,2
236,0,2
237,1,2
238,1,2
239,1,2
240,2,2
241,2,2
242,2,2
243,2,2
244,2,2
245,2,2
