id,depart,timeloss,espera,paradas,co2
p1_N1_S1.0,0.0,20.28,9.0,1,157.07
p1_N3_S3.0,0.0,21.95,11.0,1,161.85
p1_S3_N3.0,0.0,22.04,10.0,1,165.38
p1_S1_N1.0,0.0,20.6,9.0,1,160.15
p1_N2_S2.0,0.0,20.57,9.0,1,153.25
p1_S2_N2.0,0.0,18.87,8.0,1,151.36
p1_N1_S1.1,24.0,4.67,0.0,0,120.66
p1_S1_N1.1,24.0,4.8,0.0,0,118.21
p1_S2_N2.1,24.0,4.71,0.0,0,120.78
p1_N3_S3.1,24.0,4.93,0.0,0,121.01
p1_S3_N3.1,24.0,4.81,0.0,0,123.97
p1_W_NR.0,3.0,9.08,0.0,0,165.97
p1_N2_S2.1,24.0,22.5,13.0,1,163.35
p1_S2_N2.2,48.0,5.01,0.0,0,117.77
p1_S1_N1.2,48.0,5.35,0.0,0,126.26
p1_N2_S2.2,48.0,5.0,0.0,0,119.35
p1_N3_S3.2,48.0,4.94,0.0,0,121.02
p1_N1_S1.2,48.0,4.95,0.0,0,114.92
p1_S3_N3.2,48.0,4.68,0.0,0,122.37
p1_W_NR.1,48.0,12.07,0.0,0,162.62
p1_N3_S3.3,72.0,5.01,0.0,0,119.11
p1_N1_S1.3,72.0,5.4,0.0,0,124.68
p1_S1_N1.3,72.0,5.39,0.0,0,120.21
p1_S2_N2.3,72.0,5.48,0.0,0,119.29
p1_N2_S2.3,72.0,5.67,0.0,0,122.64
p1_S3_N3.3,72.0,5.28,0.0,0,118.78
p1_S1_E.0,3.0,38.1,17.0,2,317.7
p1_SR_E.0,0.0,13.89,0.0,0,314.25
p1_N2_S2.4,96.0,4.8,0.0,0,121.48
p1_S2_N2.4,96.0,4.76,0.0,0,122.82
p1_S3_N3.4,96.0,4.38,0.0,0,124.0
p1_N3_S3.4,96.0,5.52,0.0,0,125.48
p1_N1_S1.4,96.0,5.09,0.0,0,116.33
p1_S1_N1.4,96.0,5.82,0.0,0,127.16
p1_W_NR.2,92.0,10.64,0.0,0,170.12
p1_W_E.1,6.0,30.77,0.0,0,370.72
p1_W_E.2,12.0,21.71,0.0,0,350.48
p1_W_E.4,23.0,15.55,0.0,0,325.63
p1_E_W.1,15.0,25.06,0.0,0,380.36
p1_N1_S1.5,120.0,4.54,0.0,0,117.98
p1_S1_N1.5,120.0,4.93,0.0,0,117.07
p1_N2_S2.5,120.0,4.93,0.0,0,123.71
p1_S2_N2.5,120.0,5.12,0.0,0,126.51
p1_S3_N3.5,120.0,4.88,0.0,0,117.25
p1_N3_W.0,3.0,46.35,17.0,2,395.52
p1_W_E.3,17.0,12.03,0.0,0,308.35
p1_W_E.0,0.0,22.34,1.0,1,345.13
p1_N3_S3.5,120.0,5.11,0.0,0,122.05
p1_E_W.0,0.0,30.44,9.0,1,357.3
p1_SR_E.1,24.0,47.84,26.0,1,393.63
p1_W_E.6,34.0,28.81,5.0,1,384.26
p1_SR_E.2,48.0,25.55,3.0,1,358.91
p1_W_E.9,51.0,14.07,0.0,0,316.78
p1_W_E.7,39.0,28.13,1.0,1,388.53
p1_S1_E.1,60.0,34.46,14.0,2,306.53
p1_N2_S2.6,144.0,5.47,0.0,0,134.1
p1_S2_N2.6,144.0,5.39,0.0,0,132.45
p1_N3_S3.6,144.0,5.53,0.0,0,126.61
p1_S3_N3.6,144.0,5.13,0.0,0,123.72
p1_W_E.5,28.0,40.3,11.0,1,421.24
p1_S1_N1.6,144.0,5.74,0.0,0,118.05
p1_W_E.8,45.0,15.35,0.0,0,326.71
p1_E_W.2,29.0,27.16,10.0,1,351.48
p1_N1_S1.6,144.0,5.51,0.0,0,123.15
p1_E_W.3,44.0,15.85,0.0,0,321.85
p1_W_NR.3,136.0,8.99,0.0,0,163.48
p1_W_E.12,67.0,21.7,0.0,0,331.05
p1_SR_E.3,72.0,27.38,5.0,1,360.57
p1_W_E.11,61.0,26.65,0.0,0,337.06
p1_E_W.5,72.0,20.63,0.0,0,363.99
p1_S2_N2.7,168.0,7.98,0.0,0,144.65
p1_S1_N1.7,168.0,8.78,0.0,0,140.97
p1_S3_N3.7,168.0,8.38,0.0,0,143.16
p1_N2_S2.7,168.0,7.22,0.0,0,129.33
p1_N3_S3.7,168.0,6.09,0.0,0,126.2
p1_N1_S1.7,168.0,5.45,0.0,0,124.9
p1_E_W.4,58.0,28.46,7.0,1,369.03
p1_N3_W.1,60.0,30.02,8.0,1,359.12
p1_S1_E.2,123.0,22.88,8.0,1,295.2
p1_W_E.13,72.0,43.79,12.0,1,412.12
p1_W_E.16,89.0,28.34,0.0,0,368.77
p1_E_W.7,101.0,16.91,0.0,0,357.16
p1_N1_S1.8,192.0,11.47,0.0,0,148.66
p1_S2_N2.8,192.0,11.55,2.0,1,151.55
p1_W_NR.4,181.0,8.9,0.0,0,159.68
p1_N2_S2.8,192.0,10.33,0.0,0,147.7
p1_S3_N3.8,192.0,10.34,0.0,0,150.43
p1_S1_N1.8,192.0,8.6,0.0,0,142.79
p1_N3_S3.8,192.0,13.87,2.0,1,154.3
p1_W_E.15,84.0,21.74,3.0,1,324.64
p1_E_W.6,87.0,25.57,5.0,1,364.67
p1_W_E.14,78.0,28.01,6.0,1,352.04
p1_W_E.20,111.0,29.93,8.0,1,378.95
p1_N3_W.2,123.0,26.32,6.0,1,370.3
p1_W_E.21,117.0,25.91,2.0,1,362.86
p1_W_E.23,128.0,15.69,0.0,0,344.79
p1_E_W.8,116.0,28.67,4.0,1,380.72
p1_W_E.22,122.0,23.57,0.0,0,370.6
p1_E_W.9,130.0,17.15,0.0,0,339.3
p1_S1_N1.9,216.0,13.38,3.0,1,151.92
p1_N2_S2.9,216.0,13.82,4.0,1,155.93
p1_S2_N2.9,216.0,13.6,2.0,1,149.08
p1_N3_S3.9,216.0,13.48,2.0,1,150.38
p1_S3_N3.9,216.0,12.99,3.0,1,148.11
p1_SR_E.4,96.0,62.72,34.0,2,409.36
p1_N1_S1.9,216.0,13.12,3.0,1,155.15
p1_W_E.18,100.0,39.5,12.0,1,381.47
p1_W_E.10,56.0,46.66,20.0,2,403.94
p1_W_E.17,95.0,39.16,13.0,1,387.61
p1_W_E.19,106.0,49.37,12.0,2,419.04
p1_SR_E.5,120.0,57.59,40.0,2,377.44
p1_W_E.26,144.0,16.27,0.0,0,345.63
p1_W_E.25,139.0,24.78,2.0,1,363.84
p1_W_NR.5,225.0,11.88,0.0,0,166.36
p1_E_W.10,144.0,26.12,2.0,1,372.87
p1_S1_E.3,180.0,22.17,2.0,1,300.07
p1_W_E.27,150.0,12.79,0.0,0,318.09
p1_E_W.11,159.0,13.27,0.0,0,316.65
p1_W_E.24,133.0,36.16,8.0,1,397.09
p1_S1_N1.10,240.0,15.52,5.0,1,153.81
p1_N3_S3.10,240.0,15.87,6.0,1,159.13
p1_S3_N3.10,240.0,15.07,6.0,1,151.09
p1_N1_S1.10,240.0,14.68,5.0,1,151.64
p1_N2_S2.10,240.0,12.97,3.0,1,145.28
p1_S2_N2.10,240.0,11.59,2.0,1,142.76
p1_W_E.30,167.0,25.44,0.0,0,363.46
p1_SR_E.6,144.0,60.59,33.0,3,422.78
p1_W_E.31,172.0,21.35,0.0,0,359.39
p1_W_E.32,178.0,17.74,0.0,0,349.92
p1_W_E.28,156.0,28.17,7.0,1,368.68
p1_SR_E.7,168.0,40.52,9.0,2,377.0
p1_N1_S1.11,264.0,16.85,8.0,1,152.18
p1_N3_S3.11,264.0,17.36,9.0,1,160.28
p1_S3_N3.11,264.0,17.02,6.0,1,157.3
p1_E_W.12,173.0,12.26,0.0,0,312.25
p1_N2_S2.11,264.0,16.41,6.0,1,152.17
