t,semaforo_C1,semaforo_C2,semaforo_C3
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,0,0,0
20,0,0,0
21,0,0,0
22,0,0,0
23,0,0,0
24,0,0,0
25,0,0,0
26,1,0,0
27,1,0,0
28,1,0,0
29,2,0,0
30,2,0,0
31,2,1,1
32,2,1,1
33,2,1,1
34,2,2,2
35,2,2,2
36,2,2,2
37,2,2,2
38,2,2,2
39,3,2,2
40,3,2,2
41,3,2,2
42,0,2,2
43,0,2,2
44,0,3,3
45,0,3,3
46,0,3,3
47,0,0,0
48,0,0,0
49,0,0,0
50,0,0,0
51,0,0,0
52,0,0,0
53,0,0,0
54,0,0,0
55,0,0,0
56,0,0,0
57,0,0,0
58,0,0,0
59,0,0,0
60,0,0,0
61,0,0,0
62,1,1,1
63,1,1,1
64,1,1,1
65,2,2,2
66,2,2,2
67,2,2,2
68,2,2,2
69,2,2,2
70,2,2,2
71,2,2,2
72,2,2,2
73,2,2,2
74,2,2,2
75,3,3,3
76,3,3,3
77,3,3,3
78,0,0,0
79,0,0,0
80,0,0,0
81,0,0,0
82,0,0,0
83,0,0,0
84,0,0,0
85,0,0,0
86,0,0,0
87,0,0,0
88,0,0,0
89,0,0,0
90,0,0,0
91,0,0,0
92,0,0,0
93,0,0,0
94,0,0,0
95,0,0,0
96,0,0,0
97,0,0,0
98,1,0,1
99,1,0,1
100,1,0,1
101,2,0,2
102,2,0,2
103,2,1,2
104,2,1,2
105,2,1,2
106,2,2,2
107,2,2,2
108,2,2,2
109,2,2,2
110,2,2,2
111,3,2,3
112,3,2,3
113,3,2,3
114,0,2,0
115,0,2,0
116,0,3,0
117,0,3,0
118,0,3,0
119,0,0,0
120,0,0,0
121,0,0,0
122,0,0,0
123,0,0,0
124,0,0,0
125,0,0,0
126,0,0,0
127,0,0,0
128,0,0,0
129,0,0,0
130,0,0,0
131,0,0,0
