t,semaforo_C11,semaforo_C12,semaforo_C13,semaforo_C21,semaforo_C22,semaforo_C23,semaforo_C31,semaforo_C32,semaforo_C33
1,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,0,0
31,0,0,0,0,0,0,0,0,0
32,0,0,0,0,0,0,0,0,0
33,0,0,0,0,0,0,0,0,0
34,0,0,0,0,0,0,0,0,0
35,0,0,0,0,0,0,0,0,0
36,0,0,1,0,0,0,0,0,1
37,0,0,1,0,0,0,0,0,1
38,0,0,1,0,0,0,0,0,1
39,0,0,2,0,0,0,0,0,2
40,0,0,2,0,0,0,0,0,2
41,1,0,2,0,0,0,0,1,2
42,1,0,2,0,0,0,0,1,2
43,1,0,2,0,0,0,0,1,2
44,2,0,2,0,0,0,0,2,2
45,2,0,2,0,0,0,0,2,2
46,2,0,2,0,0,0,0,2,2
47,2,0,2,0,0,0,0,2,2
48,2,0,2,0,0,0,0,2,2
49,2,0,3,0,0,0,0,2,3
50,2,0,3,0,0,0,0,2,3
51,2,0,3,0,0,0,0,2,3
52,2,0,0,0,0,0,0,2,0
53,2,0,0,0,0,0,0,2,0
54,3,0,0,0,0,0,0,3,0
55,3,0,0,0,0,0,0,3,0
56,3,0,0,0,0,0,1,3,0
