variante,base,episodio,semilla,lr,segundos,vehiculos,espera_prom,timeloss_prom,cola_prom,cola_max,recompensa,recompensa_decision,recompensa_total_decision,decisiones,decisiones_libres,cambios_fase,paradas_prom,throughput,co2_prom,nox_prom,no_terminados,spillback_tasa,spillback_seg,spillback_eventos,cola_max_enlace,veh_max_enlace,viaje_corredor_prom,retraso_corredor_prom,retraso_corredor_punta,paradas_corredor,paradas_corredor_le1,spill_activaciones,spill_suma,epsilon,perdida_q,q_medio,actualizaciones,transiciones,eval_timeloss,eval_espera,ret_retraso,ret_colas,ret_spill,val_999,val_1999,val,algoritmo,recompensa_tipo
vecinos,42,1,43,5.00e-04,10.2,2582,21.56,43.8,9.64,45,-7812.9,-3.436,-7.698,1899,1261,631,1.475,2505,295.7,102.2,0,0.0,0,0,12,14,185.23,53.43,59.11,1.885,0.33,0,0.0,1.0,0.01101,-0.0147,900,1899,,,-73089.58,-39895.36,-73089.58,,,,dqn,retraso
vecinos,42,2,44,5.00e-04,12.5,2582,21.72,44.49,8.85,37,-7015.5,-3.106,-7.348,1886,1256,626,1.478,2498,296.3,102.5,0,0.0,0,0,10,13,182.72,50.64,54.46,1.806,0.36,0,0.0,0.9905,0.01499,-0.4424,2786,3785,,,-69295.48,-36117.97,-69295.48,,,,dqn,retraso
vecinos,42,3,45,5.00e-04,12.2,2582,16.69,37.62,8.94,34,-7162.6,-3.133,-7.357,1914,1285,625,1.314,2500,285.8,98.4,0,0.0,0,0,9,15,183.16,51.33,56.91,1.852,0.36,0,0.0,0.981,0.00311,-0.6712,4700,5699,,,-70402.19,-36858.27,-70402.19,,,,dqn,retraso
vecinos,42,4,46,5.00e-04,12.6,2582,22.08,45.02,9.16,51,-7298.8,-3.222,-7.511,1886,1246,635,1.5,2504,297.4,102.8,0,0.0,0,0,12,15,184.04,52.28,57.0,1.867,0.341,0,0.0,0.9715,0.00349,-0.8056,6586,7585,,,-70825.8,-37454.58,-70825.8,,,,dqn,retraso
vecinos,42,5,47,5.00e-04,12.3,2582,16.33,37.36,8.89,40,-7095.8,-3.116,-7.47,1895,1247,641,1.374,2499,285.8,98.3,0,0.0,0,0,13,18,183.87,51.52,56.71,1.937,0.349,0,0.0,0.962,0.00386,-0.9031,8481,9480,,,-70780.76,-36441.38,-70780.76,,,,dqn,retraso
vecinos,42,6,48,5.00e-04,12.1,2582,14.69,35.15,8.46,33,-6746.8,-2.963,-7.167,1887,1229,653,1.279,2505,282.2,96.9,0,0.0,0,0,10,13,182.69,50.09,54.04,1.875,0.315,0,0.0,0.9525,0.00403,-1.0117,10368,11367,,,-67624.62,-34554.43,-67624.62,,,,dqn,retraso
vecinos,42,7,49,5.00e-04,12.3,2582,20.79,43.36,8.03,35,-6337.0,-2.794,-6.884,1886,1237,643,1.476,2503,294.5,101.8,0,0.0,0,0,9,12,178.76,46.94,50.44,1.749,0.384,0,0.0,0.943,0.00409,-1.0913,12254,13253,,,-64912.04,-32740.85,-64912.04,,,,dqn,retraso
vecinos,42,8,50,5.00e-04,12.4,2582,21.15,43.87,8.49,52,-6832.8,-2.981,-7.054,1918,1284,629,1.489,2504,295.3,102.0,0,0.0,0,0,9,12,181.48,49.76,54.22,1.77,0.396,0,0.0,0.9335,0.00406,-1.1575,14172,15171,,,-67647.0,-35093.89,-67647.0,,,,dqn,retraso
vecinos,42,9,51,5.00e-04,12.2,2582,17.31,38.26,7.71,29,-6064.1,-2.67,-6.719,1884,1228,650,1.342,2504,286.2,98.7,0,0.0,0,0,9,12,178.25,46.06,49.24,1.732,0.402,0,0.0,0.924,0.00399,-1.229,16056,17055,,,-63293.74,-31314.53,-63293.74,,,,dqn,retraso
vecinos,42,10,52,5.00e-04,12.2,2582,18.06,39.54,8.34,38,-6637.4,-2.927,-7.071,1901,1276,619,1.399,2505,289.2,99.7,0,0.0,0,0,10,14,181.27,48.88,52.3,1.822,0.346,0,0.0,0.9145,0.00396,-1.3077,17957,18956,33.18,14.74,-67211.54,-34012.3,-67211.54,33.18,33.0,33.09,dqn,retraso
vecinos,42,11,53,5.00e-04,12.3,2582,20.16,41.92,8.23,38,-6588.2,-2.882,-6.919,1907,1264,636,1.397,2506,292.4,101.0,0,0.0,0,0,9,13,180.14,48.3,52.08,1.775,0.382,0,0.0,0.905,0.00395,-1.388,19864,20863,,,-65971.18,-33798.04,-65971.18,,,,dqn,retraso
vecinos,42,12,54,5.00e-04,12.2,2582,15.98,36.11,7.24,31,-5684.3,-2.49,-6.338,1897,1241,651,1.256,2499,282.1,97.2,0,0.0,0,0,7,11,176.32,44.1,47.23,1.6,0.448,0,0.0,0.8955,0.00404,-1.4286,21761,22760,,,-60112.07,-29527.6,-60112.07,,,,dqn,retraso
vecinos,42,13,55,5.00e-04,12.2,2582,18.12,39.85,7.69,28,-6078.6,-2.684,-6.621,1889,1252,631,1.387,2501,288.5,99.5,0,0.0,0,0,8,13,178.11,46.31,49.31,1.637,0.433,0,0.0,0.886,0.00413,-1.4712,23650,24649,,,-62531.68,-31267.79,-62531.68,,,,dqn,retraso
vecinos,42,14,56,5.00e-04,12.4,2582,20.65,42.79,8.1,33,-6403.5,-2.823,-6.827,1898,1268,624,1.451,2509,293.1,101.3,0,0.0,0,0,10,15,178.42,46.68,49.36,1.726,0.397,0,0.0,0.8765,0.00409,-1.5144,25548,26547,,,-64787.8,-32933.06,-64787.8,,,,dqn,retraso
vecinos,42,15,57,5.00e-04,12.5,2582,17.11,38.39,7.63,33,-6016.1,-2.653,-6.615,1887,1240,642,1.336,2500,286.1,98.6,0,0.0,0,0,9,13,178.11,46.58,49.73,1.701,0.396,0,0.0,0.867,0.00392,-1.5363,27435,28434,,,-62409.5,-31011.14,-62409.5,,,,dqn,retraso
vecinos,42,16,58,5.00e-04,12.3,2582,17.57,38.78,7.41,31,-5846.5,-2.568,-6.547,1891,1238,647,1.387,2506,286.8,98.9,0,0.0,0,0,9,12,177.45,44.7,48.27,1.705,0.405,0,0.0,0.8575,0.00406,-1.5542,29326,30325,,,-61904.38,-30102.12,-61904.38,,,,dqn,retraso
vecinos,42,17,59,5.00e-04,12.5,2582,18.59,39.97,7.69,30,-6115.0,-2.682,-6.666,1897,1243,647,1.388,2503,289.1,99.8,0,0.0,0,0,7,13,178.44,46.28,49.41,1.749,0.398,0,0.0,0.848,0.00389,-1.5933,31223,32222,,,-63227.64,-31377.33,-63227.64,,,,dqn,retraso
vecinos,42,18,60,5.00e-04,12.2,2582,16.96,38.02,8.01,29,-6356.6,-2.803,-6.878,1889,1244,638,1.327,2503,285.9,98.5,0,0.0,0,0,8,12,179.68,47.39,52.13,1.739,0.399,0,0.0,0.8385,0.00382,-1.6274,33112,34111,,,-64958.84,-32614.84,-64958.84,,,,dqn,retraso
vecinos,42,19,61,5.00e-04,12.3,2582,18.46,39.73,7.07,31,-5488.5,-2.426,-6.295,1881,1235,640,1.352,2497,287.5,99.3,0,0.0,0,0,8,13,174.61,42.44,44.99,1.546,0.476,0,0.0,0.829,0.00385,-1.649,34993,35992,,,-59209.08,-28526.59,-59209.08,,,,dqn,retraso
vecinos,42,20,62,5.00e-04,12.2,2582,17.45,38.25,7.23,40,-5679.3,-2.501,-6.368,1887,1237,645,1.316,2506,285.5,98.5,0,0.0,0,0,8,11,175.35,43.17,45.69,1.564,0.475,0,0.0,0.8195,0.00378,-1.6667,36880,37879,30.26,13.33,-60079.68,-29447.99,-60079.68,30.26,29.83,30.045,dqn,retraso
vecinos,42,21,63,5.00e-04,12.2,2582,15.49,35.67,7.06,38,-5583.6,-2.446,-6.227,1901,1256,640,1.208,2501,281.3,96.9,0,0.0,0,0,9,14,174.81,43.02,46.38,1.534,0.484,0,0.0,0.81,0.00372,-1.6995,38781,39780,,,-59185.93,-28871.36,-59185.93,,,,dqn,retraso
vecinos,42,22,64,5.00e-04,12.0,2582,14.36,34.11,6.6,28,-5131.8,-2.269,-6.035,1868,1198,664,1.211,2505,279.1,96.0,0,0.0,0,0,8,12,173.01,41.13,43.37,1.518,0.496,0,0.0,0.8005,0.00392,-1.7172,40649,41648,,,-56366.88,-26550.57,-56366.88,,,,dqn,retraso
vecinos,42,23,65,5.00e-04,12.0,2582,14.78,34.64,7.32,25,-5729.5,-2.526,-6.424,1879,1221,653,1.207,2502,280.3,96.4,0,0.0,0,0,8,13,175.54,43.65,46.92,1.57,0.456,0,0.0,0.791,0.00382,-1.7553,42528,43527,,,-60354.37,-29660.88,-60354.37,,,,dqn,retraso
vecinos,42,24,66,5.00e-04,12.4,2582,19.03,40.29,7.91,34,-6266.7,-2.752,-6.732,1903,1270,627,1.401,2503,288.8,99.8,0,0.0,0,0,9,13,176.92,45.08,47.49,1.67,0.445,0,0.0,0.7815,0.00402,-1.7751,44431,45430,,,-64056.31,-32351.12,-64056.31,,,,dqn,retraso
vecinos,42,25,67,5.00e-04,12.2,2582,18.31,39.5,8.12,46,-6394.0,-2.819,-6.865,1892,1253,634,1.352,2509,288.0,99.4,0,0.0,0,0,12,14,178.35,46.24,50.35,1.671,0.428,0,0.0,0.772,0.00388,-1.7742,46323,47322,,,-64946.86,-33090.38,-64946.86,,,,dqn,retraso
vecinos,42,26,68,5.00e-04,12.2,2582,18.21,39.24,6.54,28,-5066.8,-2.24,-5.949,1873,1214,654,1.326,2506,286.1,98.9,0,0.0,0,0,8,11,172.36,40.47,43.38,1.494,0.507,0,0.0,0.7625,0.00397,-1.7881,48196,49195,,,-55709.72,-26298.08,-55709.72,,,,dqn,retraso
vecinos,42,27,69,5.00e-04,12.2,2582,16.59,37.5,7.01,33,-5497.2,-2.427,-6.245,1884,1236,641,1.308,2505,283.9,97.9,0,0.0,0,0,9,13,173.63,41.84,44.78,1.518,0.502,0,0.0,0.753,0.00392,-1.8028,50080,51079,,,-58829.02,-28404.78,-58829.02,,,,dqn,retraso
vecinos,42,28,70,5.00e-04,12.1,2582,17.02,37.61,6.75,35,-5275.4,-2.329,-6.031,1896,1270,621,1.259,2500,283.6,97.9,0,0.0,0,0,7,14,172.65,40.38,43.53,1.449,0.543,0,0.0,0.7435,0.00394,-1.8122,51976,52975,,,-57175.7,-27288.13,-57175.7,,,,dqn,retraso
vecinos,42,29,71,5.00e-04,12.1,2582,13.67,33.22,6.98,31,-5446.5,-2.405,-6.209,1882,1234,644,1.153,2502,277.6,95.5,0,0.0,0,0,8,12,174.54,43.25,46.31,1.565,0.481,0,0.0,0.734,0.00424,-1.807,53858,54857,,,-58428.82,-28229.88,-58428.82,,,,dqn,retraso
vecinos,42,30,72,5.00e-04,12.3,2582,20.76,43.26,7.58,35,-5966.0,-2.624,-6.541,1895,1253,636,1.454,2503,293.2,101.4,0,0.0,0,0,8,12,176.24,44.76,48.63,1.643,0.426,0,0.0,0.7245,0.00405,-1.8177,55753,56752,30.56,13.64,-61978.37,-30863.11,-61978.37,30.56,31.43,30.995,dqn,retraso
vecinos,42,31,73,5.00e-04,12.2,2582,17.76,38.82,7.23,30,-5672.5,-2.508,-6.377,1881,1234,641,1.319,2497,286.4,98.8,0,0.0,0,0,9,13,174.68,43.02,46.4,1.543,0.497,0,0.0,0.715,0.00448,-1.8152,57634,58633,,,-59980.35,-29228.76,-59980.35,,,,dqn,retraso
vecinos,42,32,74,5.00e-04,12.2,2582,17.45,38.4,6.64,30,-5141.7,-2.261,-6.029,1885,1226,653,1.302,2500,285.1,98.5,0,0.0,0,0,9,11,172.93,40.87,43.6,1.533,0.482,0,0.0,0.7055,0.00405,-1.8391,59519,60518,,,-56823.98,-26847.4,-56823.98,,,,dqn,retraso
vecinos,42,33,75,5.00e-04,12.2,2582,19.0,40.46,6.92,35,-5368.3,-2.38,-6.206,1872,1223,642,1.361,2507,288.8,99.8,0,0.0,0,0,11,13,173.85,42.16,44.45,1.556,0.48,0,0.0,0.696,0.00434,-1.8637,61391,62390,,,-58087.75,-27873.64,-58087.75,,,,dqn,retraso
vecinos,42,34,76,5.00e-04,12.0,2582,14.51,34.27,6.5,26,-5062.8,-2.235,-5.949,1873,1211,656,1.155,2507,279.1,96.1,0,0.0,0,0,9,11,172.24,40.62,42.57,1.427,0.543,0,0.0,0.6865,0.00396,-1.8951,63264,64263,,,-55708.44,-26208.17,-55708.44,,,,dqn,retraso
vecinos,42,35,77,5.00e-04,12.0,2582,15.85,36.4,6.85,27,-5364.1,-2.371,-6.138,1880,1232,644,1.254,2504,282.0,97.2,0,0.0,0,0,7,12,173.72,42.1,45.78,1.514,0.506,0,0.0,0.677,0.00405,-1.9079,65144,66143,,,-57694.18,-27667.25,-57694.18,,,,dqn,retraso
vecinos,42,36,78,5.00e-04,12.5,2582,18.5,39.82,6.88,31,-5371.1,-2.359,-6.148,1889,1233,652,1.368,2506,287.5,99.4,0,0.0,0,0,9,13,173.24,41.47,44.17,1.536,0.497,0,0.0,0.6675,0.00412,-1.8988,67033,68032,,,-58071.98,-27889.01,-58071.98,,,,dqn,retraso
vecinos,42,37,79,5.00e-04,12.2,2582,16.56,37.08,6.27,28,-4879.8,-2.146,-5.797,1876,1204,666,1.28,2500,282.9,97.7,0,0.0,0,0,8,11,170.76,39.17,41.74,1.424,0.529,0,0.0,0.658,0.00399,-1.9082,68909,69908,,,-54377.47,-25354.56,-54377.47,,,,dqn,retraso
vecinos,42,38,80,5.00e-04,12.1,2582,13.9,33.23,6.5,28,-5059.0,-2.234,-5.873,1883,1235,642,1.146,2506,276.6,95.2,0,0.0,0,0,9,14,171.03,39.47,42.25,1.415,0.556,0,0.0,0.6485,0.00396,-1.9115,70792,71791,,,-55296.73,-26307.75,-55296.73,,,,dqn,retraso
vecinos,42,39,81,5.00e-04,12.0,2582,16.08,36.23,6.55,28,-5108.1,-2.252,-5.951,1878,1220,653,1.253,2509,281.3,97.1,0,0.0,0,0,8,14,170.75,38.95,41.64,1.457,0.53,0,0.0,0.639,0.00413,-1.9202,72670,73669,,,-55877.19,-26418.85,-55877.19,,,,dqn,retraso
vecinos,42,40,82,5.00e-04,12.1,2582,13.24,32.29,6.52,26,-5110.7,-2.259,-5.897,1884,1242,637,1.105,2504,275.6,94.8,0,0.0,0,0,8,12,171.53,39.74,42.57,1.388,0.557,0,0.0,0.6295,0.00411,-1.9267,74554,75553,29.64,12.77,-55553.25,-26357.84,-55553.25,29.64,32.03,30.835,dqn,retraso
vecinos,42,41,83,5.00e-04,12.2,2582,15.74,35.81,6.3,26,-4854.7,-2.141,-5.78,1880,1223,651,1.234,2499,280.3,96.7,0,0.0,0,0,7,13,171.29,39.29,41.93,1.451,0.548,0,0.0,0.62,0.0042,-1.9135,76434,77433,,,-54328.71,-25373.24,-54328.71,,,,dqn,retraso
vecinos,42,42,84,5.00e-04,11.9,2582,13.83,33.13,6.23,30,-4845.6,-2.128,-5.715,1895,1248,644,1.146,2503,276.2,95.1,0,0.0,0,0,7,12,170.56,38.37,40.34,1.356,0.576,0,0.0,0.6105,0.00443,-1.9102,78329,79328,,,-54152.58,-25300.24,-54152.58,,,,dqn,retraso
vecinos,42,43,85,5.00e-04,12.3,2582,12.55,31.29,5.93,23,-4565.0,-2.007,-5.556,1884,1224,654,1.091,2508,273.5,94.1,0,0.0,0,0,8,10,169.61,37.62,39.86,1.32,0.594,0,0.0,0.601,0.0043,-1.9135,80213,81212,,,-52333.39,-23930.74,-52333.39,,,,dqn,retraso
vecinos,42,44,86,5.00e-04,12.0,2582,12.05,30.36,5.97,26,-4666.4,-2.049,-5.58,1887,1226,656,1.079,2512,271.4,93.4,0,0.0,0,0,8,12,168.88,36.43,37.89,1.309,0.613,0,0.0,0.5915,0.00423,-1.9011,82100,83099,,,-52645.04,-24208.8,-52645.04,,,,dqn,retraso
vecinos,42,45,87,5.00e-04,12.2,2582,14.85,34.56,5.91,29,-4580.6,-2.022,-5.556,1873,1209,659,1.192,2503,278.2,95.9,0,0.0,0,0,7,11,168.72,36.8,39.24,1.309,0.616,0,0.0,0.582,0.004,-1.8868,83973,84972,,,-52031.77,-23767.84,-52031.77,,,,dqn,retraso
vecinos,42,46,88,5.00e-04,12.3,2582,17.38,37.97,5.85,32,-4549.1,-2.0,-5.442,1889,1237,648,1.24,2495,282.8,97.8,0,0.0,0,0,8,12,168.8,36.92,38.79,1.27,0.635,0,0.0,0.5725,0.00406,-1.8995,85862,86861,,,-51399.19,-23660.4,-51399.19,,,,dqn,retraso
vecinos,42,47,89,5.00e-04,12.1,2582,16.19,35.92,6.02,26,-4680.7,-2.067,-5.542,1889,1251,632,1.176,2502,279.9,96.7,0,0.0,0,0,8,12,168.21,36.31,38.24,1.264,0.638,0,0.0,0.563,0.00398,-1.8942,87751,88750,,,-52346.22,-24326.27,-52346.22,,,,dqn,retraso
vecinos,42,48,90,5.00e-04,12.1,2582,13.13,31.67,6.05,22,-4706.3,-2.072,-5.586,1897,1260,631,1.058,2505,273.4,94.1,0,0.0,0,0,7,10,168.77,36.13,38.49,1.252,0.65,0,0.0,0.5535,0.00386,-1.8862,89648,90647,,,-52981.22,-24466.12,-52981.22,,,,dqn,retraso
vecinos,42,49,91,5.00e-04,11.9,2582,15.08,34.35,5.73,25,-4406.3,-1.945,-5.405,1874,1213,657,1.148,2506,277.6,95.8,0,0.0,0,0,8,10,167.25,35.69,37.09,1.276,0.618,0,0.0,0.544,0.00394,-1.9053,91522,92521,,,-50642.07,-23017.01,-50642.07,,,,dqn,retraso
vecinos,42,50,92,5.00e-04,12.0,2582,13.98,32.99,5.93,28,-4583.0,-2.023,-5.549,1873,1208,661,1.159,2506,275.8,95.0,0,0.0,0,0,6,10,167.95,36.27,38.22,1.347,0.572,0,0.0,0.5345,0.00379,-1.9245,93395,94394,28.17,11.71,-51968.46,-23834.91,-51968.46,28.17,30.58,29.375,dqn,retraso
vecinos,42,51,93,5.00e-04,12.1,2582,15.49,35.13,5.39,34,-4163.3,-1.831,-5.193,1892,1246,640,1.147,2510,278.2,96.1,0,0.0,0,0,6,10,165.85,34.23,35.3,1.165,0.669,0,0.0,0.525,0.00393,-1.9221,95287,96286,,,-49125.01,-21789.35,-49125.01,,,,dqn,retraso
vecinos,42,52,94,5.00e-04,12.1,2582,16.42,36.41,5.51,25,-4243.2,-1.876,-5.323,1869,1203,661,1.184,2506,280.0,96.8,0,0.0,0,0,7,12,166.79,34.89,36.2,1.204,0.659,0,0.0,0.5155,0.00383,-1.9305,97156,98155,,,-49741.53,-22098.16,-49741.53,,,,dqn,retraso
vecinos,42,53,95,5.00e-04,12.3,2582,18.02,38.72,5.65,25,-4346.0,-1.911,-5.385,1887,1234,648,1.264,2503,283.6,98.1,0,0.0,0,0,7,12,168.04,35.83,37.41,1.241,0.631,0,0.0,0.506,0.00359,-1.9421,99043,100042,,,-50806.43,-22784.64,-50806.43,,,,dqn,retraso
vecinos,42,54,96,5.00e-04,12.2,2582,16.39,36.31,5.81,23,-4466.5,-1.98,-5.447,1874,1225,643,1.176,2504,280.3,96.8,0,0.0,0,0,7,10,167.58,35.8,37.53,1.221,0.654,0,0.0,0.4965,0.0038,-1.9399,100917,101916,,,-51039.14,-23280.85,-51039.14,,,,dqn,retraso
vecinos,42,55,97,5.00e-04,12.0,2582,14.12,33.12,5.62,25,-4372.4,-1.925,-5.335,1883,1226,651,1.12,2511,275.0,94.9,0,0.0,0,0,7,13,166.56,34.56,36.31,1.195,0.669,0,0.0,0.487,0.00369,-1.9369,102800,103799,,,-50230.64,-22642.1,-50230.64,,,,dqn,retraso
vecinos,42,56,98,5.00e-04,12.1,2582,15.84,35.69,5.52,25,-4270.0,-1.888,-5.266,1880,1236,641,1.17,2506,278.3,96.1,0,0.0,0,0,9,14,166.53,34.56,36.58,1.165,0.677,0,0.0,0.4775,0.00383,-1.923,104680,105679,,,-49501.04,-22220.28,-49501.04,,,,dqn,retraso
vecinos,42,57,99,5.00e-04,12.5,2582,16.1,35.74,5.62,22,-4316.7,-1.906,-5.284,1879,1224,651,1.18,2506,279.2,96.5,0,0.0,0,0,7,12,165.85,34.5,36.53,1.201,0.666,0,0.0,0.468,0.00418,-1.9022,106559,107558,,,-49640.67,-22577.84,-49640.67,,,,dqn,retraso
vecinos,42,58,100,5.00e-04,12.2,2582,13.54,32.05,5.66,25,-4335.1,-1.924,-5.289,1881,1248,627,1.066,2508,273.1,94.2,0,0.0,0,0,7,11,165.64,33.92,35.19,1.157,0.681,0,0.0,0.4585,0.0041,-1.9015,108440,109439,,,-49744.18,-22709.43,-49744.18,,,,dqn,retraso
vecinos,42,59,101,5.00e-04,12.2,2582,15.8,35.48,5.21,25,-3989.5,-1.761,-5.064,1875,1213,656,1.148,2507,277.8,96.1,0,0.0,0,0,6,11,164.76,33.28,34.42,1.149,0.671,0,0.0,0.449,0.00383,-1.884,110315,111314,,,-47478.8,-20916.4,-47478.8,,,,dqn,retraso
vecinos,42,60,102,5.00e-04,12.0,2582,13.5,32.34,5.37,21,-4174.0,-1.826,-5.198,1899,1244,649,1.095,2507,273.5,94.3,0,0.0,0,0,6,10,166.38,34.03,35.53,1.152,0.69,0,0.0,0.4395,0.00399,-1.8951,112214,113213,29.9,12.84,-49357.23,-21809.03,-49357.23,29.9,29.24,29.57,dqn,retraso
vecinos,42,61,103,5.00e-04,12.0,2582,15.37,34.52,5.28,21,-4060.1,-1.79,-5.089,1880,1221,653,1.118,2504,276.2,95.5,0,0.0,0,0,5,11,164.28,32.79,34.68,1.134,0.696,0,0.0,0.43,0.00396,-1.8961,114094,115093,,,-47832.63,-21240.96,-47832.63,,,,dqn,retraso
vecinos,42,62,104,5.00e-04,12.0,2582,13.72,32.08,5.6,24,-4329.7,-1.919,-5.212,1888,1260,622,1.048,2505,272.0,93.9,0,0.0,0,0,6,11,164.71,32.31,33.84,1.048,0.733,0,0.0,0.4205,0.00396,-1.907,115982,116981,,,-49202.94,-22563.13,-49202.94,,,,dqn,retraso
vecinos,42,63,105,5.00e-04,12.1,2582,14.65,33.24,5.38,21,-4096.8,-1.814,-5.12,1876,1227,644,1.068,2511,274.3,94.7,0,0.0,0,0,7,11,164.33,32.69,33.7,1.116,0.697,0,0.0,0.411,0.00373,-1.9234,117858,118857,,,-48023.66,-21587.08,-48023.66,,,,dqn,retraso
vecinos,42,64,106,5.00e-04,12.0,2582,12.11,29.57,5.17,24,-3938.1,-1.746,-4.887,1890,1267,618,0.922,2506,267.6,92.3,0,0.0,0,0,7,10,161.7,30.02,30.86,0.905,0.804,0,0.0,0.4015,0.00384,-1.9086,119748,120747,,,-46182.18,-20773.51,-46182.18,,,,dqn,retraso
vecinos,42,65,107,5.00e-04,12.0,2582,12.41,30.23,5.62,22,-4351.7,-1.926,-5.271,1877,1227,644,1.025,2507,269.5,92.9,0,0.0,0,0,7,11,165.44,33.46,35.07,1.122,0.715,0,0.0,0.392,0.00355,-1.8965,121625,122624,,,-49471.87,-22579.09,-49471.87,,,,dqn,retraso
vecinos,42,66,108,5.00e-04,12.3,2582,17.16,36.73,5.67,24,-4436.0,-1.953,-5.244,1904,1282,616,1.152,2506,279.6,96.8,0,0.0,0,0,7,11,164.29,32.46,34.0,1.083,0.735,0,0.0,0.3825,0.00414,-1.8786,123529,124528,,,-49925.83,-22981.43,-49925.83,,,,dqn,retraso
vecinos,42,67,109,5.00e-04,12.0,2582,10.93,28.1,5.4,23,-4183.0,-1.849,-5.048,1884,1242,636,0.926,2503,266.2,91.7,0,0.0,0,0,6,11,163.95,32.26,33.63,1.05,0.747,0,0.0,0.373,0.00383,-1.8789,125413,126412,,,-47547.61,-21706.66,-47547.61,,,,dqn,retraso
vecinos,42,68,110,5.00e-04,11.9,2582,13.54,32.0,5.08,20,-3883.1,-1.712,-4.96,1880,1226,650,1.044,2508,272.0,93.9,0,0.0,0,0,5,10,163.4,31.27,32.24,0.996,0.774,0,0.0,0.3635,0.00359,-1.8739,127293,128292,,,-46624.76,-20400.28,-46624.76,,,,dqn,retraso
vecinos,42,69,111,5.00e-04,12.1,2582,15.13,34.08,5.21,24,-4042.2,-1.773,-4.992,1890,1231,654,1.076,2503,275.0,95.0,0,0.0,0,0,9,10,163.54,31.77,32.68,1.017,0.769,0,0.0,0.354,0.00371,-1.8577,129183,130182,,,-47173.27,-21109.47,-47173.27,,,,dqn,retraso
vecinos,42,70,112,5.00e-04,12.1,2582,13.99,32.36,5.32,25,-4090.1,-1.808,-5.09,1880,1233,643,1.072,2509,272.5,94.1,0,0.0,0,0,6,10,163.36,31.24,32.93,1.05,0.746,0,0.0,0.3445,0.00355,-1.852,131063,132062,30.45,13.2,-47849.68,-21455.11,-47849.68,30.45,29.33,29.89,dqn,retraso
vecinos,42,71,113,5.00e-04,12.3,2582,14.66,32.84,5.24,22,-4041.2,-1.787,-4.87,1896,1277,613,1.033,2507,272.0,94.1,0,0.0,0,0,6,10,162.06,30.38,31.36,0.947,0.785,0,0.0,0.335,0.00353,-1.8393,132959,133958,,,-46171.5,-21087.56,-46171.5,,,,dqn,retraso
vecinos,42,72,114,5.00e-04,12.1,2582,9.81,26.99,5.21,22,-4034.8,-1.765,-4.989,1902,1250,646,0.909,2506,264.6,91.0,0,0.0,0,0,6,11,163.99,31.99,33.42,1.03,0.743,0,0.0,0.3255,0.00352,-1.8305,134861,135860,,,-47448.18,-21193.92,-47448.18,,,,dqn,retraso
vecinos,42,73,115,5.00e-04,12.3,2582,13.48,31.61,4.95,23,-3779.2,-1.669,-4.831,1885,1243,637,1.031,2507,270.8,93.6,0,0.0,0,0,7,10,162.08,29.98,30.92,0.951,0.805,0,0.0,0.316,0.00359,-1.8285,136746,137745,,,-45533.19,-19899.7,-45533.19,,,,dqn,retraso
vecinos,42,74,116,5.00e-04,12.2,2582,9.33,26.03,5.09,21,-3913.1,-1.725,-4.864,1893,1254,633,0.853,2510,262.3,90.3,0,0.0,0,0,6,11,162.08,30.21,31.22,0.952,0.799,0,0.0,0.3065,0.00371,-1.8225,138639,139638,,,-46035.12,-20579.03,-46035.12,,,,dqn,retraso
vecinos,42,75,117,5.00e-04,12.6,2582,12.68,30.37,5.18,23,-3992.1,-1.763,-4.915,1896,1270,620,0.953,2508,269.0,92.8,0,0.0,0,0,7,10,162.69,30.85,31.77,0.961,0.787,0,0.0,0.297,0.00352,-1.8135,140535,141534,,,-46595.55,-20865.65,-46595.55,,,,dqn,retraso
vecinos,42,76,118,5.00e-04,12.3,2582,12.74,30.33,5.08,19,-3888.0,-1.723,-4.858,1882,1246,629,0.965,2504,268.6,92.7,0,0.0,0,0,6,10,161.76,30.18,31.07,0.954,0.793,0,0.0,0.2875,0.00368,-1.8243,142417,143416,,,-45710.76,-20389.08,-45710.76,,,,dqn,retraso
vecinos,42,77,119,5.00e-04,11.8,2582,10.06,27.13,5.28,19,-4055.3,-1.8,-5.003,1883,1256,621,0.893,2506,264.4,91.0,0,0.0,0,0,6,11,162.53,30.65,32.04,0.963,0.779,0,0.0,0.278,0.00377,-1.8212,144300,145299,,,-47101.69,-21193.71,-47101.69,,,,dqn,retraso
vecinos,42,78,120,5.00e-04,12.0,2582,13.22,30.99,4.96,19,-3829.4,-1.684,-4.78,1899,1263,631,0.976,2510,270.2,93.3,0,0.0,0,0,6,11,161.68,30.08,31.02,0.949,0.789,0,0.0,0.2685,0.00366,-1.8115,146199,147198,,,-45386.43,-20083.73,-45386.43,,,,dqn,retraso
vecinos,42,79,121,5.00e-04,11.8,2582,8.49,24.98,4.85,19,-3703.0,-1.637,-4.757,1887,1250,630,0.821,2502,259.9,89.4,0,0.0,0,0,7,10,161.83,29.44,30.08,0.888,0.824,0,0.0,0.259,0.00367,-1.8218,148086,149085,,,-44878.46,-19494.42,-44878.46,,,,dqn,retraso
